r,alpha,epochs,model,split,auroc,acc,real_acc,fake_acc
4,8,5,M1a,modern_test,0.9954737777777778,0.966,0.952,0.98
4,8,5,M1a,cf,0.7438160662774767,0.6536160957041871,0.5565410199556541,0.7470651013874067
4,8,5,M1a,eval,0.8859771561764871,0.7939502845163222,0.7360774818401937,0.8506224066390041
4,8,5,M1b,modern_test,0.9999306666666666,0.9966666666666667,0.9986666666666667,0.9946666666666667
4,8,5,M1b,cf,0.7470130411015956,0.6846112017400762,0.7239467849223947,0.6467449306296692
4,8,5,M1b,eval,0.902521381996782,0.8247978436657682,0.8486682808716707,0.8014226437462952
4,8,10,M1a,modern_test,0.9962613333333333,0.9693333333333334,0.9586666666666667,0.98
4,8,10,M1a,cf,0.7476697106158021,0.6606851549755302,0.5809312638580931,0.7374599786552828
4,8,10,M1a,eval,0.889025319671437,0.7993411200958371,0.7524213075060533,0.8452874925903971
4,8,10,M1b,modern_test,0.9988391111111112,0.9953333333333333,0.992,0.9986666666666667
4,8,10,M1b,cf,0.7697432717996532,0.6802610114192496,0.6363636363636364,0.7225186766275347
4,8,10,M1b,eval,0.9104911005825778,0.8218029350104822,0.7978208232445521,0.8452874925903971
8,16,5,M1a,modern_test,0.9954737777777778,0.966,0.952,0.98
8,16,5,M1a,cf,0.7438160662774767,0.6536160957041871,0.5565410199556541,0.7470651013874067
8,16,5,M1a,eval,0.8859771561764871,0.7939502845163222,0.7360774818401937,0.8506224066390041
8,16,5,M1b,modern_test,0.9999608888888889,0.9946666666666667,1.0,0.9893333333333333
8,16,5,M1b,cf,0.7096343474834768,0.6748232735182165,0.7694013303769401,0.583778014941302
8,16,5,M1b,eval,0.8870003272425082,0.8185085354896675,0.87409200968523,0.7640782454060462
8,16,10,M1a,modern_test,0.9962613333333333,0.9693333333333334,0.9586666666666667,0.98
8,16,10,M1a,cf,0.7476697106158021,0.6606851549755302,0.5809312638580931,0.7374599786552828
8,16,10,M1a,eval,0.889025319671437,0.7993411200958371,0.7524213075060533,0.8452874925903971
8,16,10,M1b,modern_test,0.9999644444444444,0.9966666666666667,0.9946666666666667,0.9986666666666667
8,16,10,M1b,cf,0.7445851386815023,0.6650353452963567,0.6286031042128604,0.7001067235859125
8,16,10,M1b,eval,0.9007787797586155,0.8140161725067385,0.7947941888619855,0.8328393598103142
16,32,5,M1a,modern_test,0.9954737777777778,0.966,0.952,0.98
16,32,5,M1a,cf,0.7438160662774767,0.6536160957041871,0.5565410199556541,0.7470651013874067
16,32,5,M1a,eval,0.8859771561764871,0.7939502845163222,0.7360774818401937,0.8506224066390041
16,32,5,M1b,modern_test,0.9998915555555556,0.994,0.9893333333333333,0.9986666666666667
16,32,5,M1b,cf,0.7729290063347902,0.6900489396411092,0.6252771618625277,0.7524012806830309
16,32,5,M1b,eval,0.909968122560931,0.8265947888589398,0.7905569007263923,0.8618850029638412
32,64,5,M1a,modern_test,0.9954737777777778,0.966,0.952,0.98
32,64,5,M1a,cf,0.7438160662774767,0.6536160957041871,0.5565410199556541,0.7470651013874067
32,64,5,M1a,eval,0.8859771561764871,0.7939502845163222,0.7360774818401937,0.8506224066390041
32,64,5,M1b,modern_test,0.999664,0.9973333333333333,0.9946666666666667,1.0
32,64,5,M1b,cf,0.7580024941609658,0.710168569874932,0.7827050997782705,0.6403415154749199
32,64,5,M1b,eval,0.9045067249770715,0.839173405211141,0.8789346246973365,0.8002371072910492
32,64,10,M1a,modern_test,0.9962613333333333,0.9693333333333334,0.9586666666666667,0.98
32,64,10,M1a,cf,0.7476697106158021,0.6606851549755302,0.5809312638580931,0.7374599786552828
32,64,10,M1a,eval,0.889025319671437,0.7993411200958371,0.7524213075060533,0.8452874925903971
32,64,10,M1b,modern_test,0.9999768888888888,0.9966666666666667,0.9973333333333333,0.996
32,64,10,M1b,cf,0.7347688168353499,0.689505165851006,0.7272727272727273,0.6531483457844184
32,64,10,M1b,eval,0.8949117378155987,0.8274932614555256,0.8498789346246973,0.8055720213396562
16,32,10,M1a,modern_test,0.9962613333333333,0.9693333333333334,0.9586666666666667,0.98
16,32,10,M1a,cf,0.7476697106158021,0.6606851549755302,0.5809312638580931,0.7374599786552828
16,32,10,M1a,eval,0.889025319671437,0.7993411200958371,0.7524213075060533,0.8452874925903971
16,32,10,M1b,modern_test,0.9999626666666667,0.9973333333333333,0.9986666666666667,0.996
16,32,10,M1b,cf,0.7568749156978326,0.6905927134312126,0.7172949002217295,0.6648879402347919
16,32,10,M1b,eval,0.9055987892027195,0.8283917340521114,0.8450363196125908,0.8120924718435092
