perturbation,method,auroc,acc,real_acc,fake_acc
clean,M1_cal,0.7573857518056468,0.6220550667045132,0.41225,0.8975705843729481
clean,M2_cal,0.48766382140512143,0.49318762418393414,0.581,0.37787261982928433
clean,m12_mean,0.7399963066316482,0.6216292932160091,0.42,0.886408404464872
clean,M3_cal,0.6420836342744582,0.6332671019017883,0.8255,0.3808273145108339
clean,mean_prob,0.7379897406434668,0.6700255464093102,0.7395,0.5787918581746553
clean,majority_vote,0.6467900935653315,0.6121203519727505,0.66025,0.5489166119500984
clean,combiner_logreg,0.723758043335522,0.6809537326142492,0.731,0.6152330925804333
clean,combiner_mlp,0.7202629678266579,0.6785410161793926,0.72775,0.6139198949441891
jpeg_q90,M1_cal,0.6395921700590939,0.6125461254612546,0.84875,0.30236375574523966
jpeg_q90,M2_cal,0.4926103086014445,0.48509792790235595,0.3065,0.7196323046618516
jpeg_q90,m12_mean,0.6301054661851608,0.6097076355378939,0.82575,0.32600131319763626
jpeg_q90,M3_cal,0.6503099146421536,0.636247516321317,0.788,0.43696651346027576
jpeg_q90,mean_prob,0.6876442055154302,0.639511779733182,0.8845,0.31779382797110967
jpeg_q90,majority_vote,0.6302580022980959,0.6297189894975873,0.7515,0.4697964543663821
jpeg_q90,combiner_logreg,0.6564920387393303,0.6319897814362759,0.87125,0.31779382797110967
jpeg_q90,combiner_mlp,0.6574992613263296,0.6223389156968493,0.874,0.29185817465528563
jpeg_q75,M1_cal,0.637044238345371,0.6061595231336929,0.85125,0.2843072882468812
jpeg_q75,M2_cal,0.49825976690741963,0.525546409310247,0.77525,0.19763624425476034
jpeg_q75,m12_mean,0.6259649540380827,0.6011921657678115,0.86525,0.25443204202232433
jpeg_q75,M3_cal,0.6408953545633618,0.6292932160090832,0.7335,0.49244911359159554
jpeg_q75,mean_prob,0.6714348325673014,0.6430598921373829,0.885,0.3253447143795141
jpeg_q75,majority_vote,0.6093804990151018,0.6122622764689185,0.878,0.26329612606697306
jpeg_q75,combiner_logreg,0.6452353086014445,0.6236162361623616,0.9015,0.2586999343401182
jpeg_q75,combiner_mlp,0.6445622948128693,0.6237581606585296,0.89475,0.267892317793828
jpeg_q50,M1_cal,0.6391497866053841,0.5938120919670735,0.9125,0.175311884438608
jpeg_q50,M2_cal,0.49392974392646094,0.5373261424921941,0.84925,0.12770847012475378
jpeg_q50,m12_mean,0.6274486211424819,0.587993187624184,0.92925,0.13985554826001312
jpeg_q50,M3_cal,0.6598846848325672,0.639511779733182,0.70975,0.5472751149047932
jpeg_q50,mean_prob,0.680020108338805,0.6335509508941243,0.911,0.2692055154300722
jpeg_q50,majority_vote,0.6189101280367695,0.5999148453022992,0.91175,0.19041365725541695
jpeg_q50,combiner_logreg,0.6534107846355877,0.6111268804995742,0.93325,0.18811556139198948
jpeg_q50,combiner_mlp,0.65702971109652,0.617797331819472,0.93525,0.20091923834537098
jpeg_q30,M1_cal,0.6256681713722916,0.5827419812659665,0.95275,0.09684832567301378
jpeg_q30,M2_cal,0.46786744911359157,0.5356230485381777,0.8735,0.09192383453709783
jpeg_q30,m12_mean,0.6068483256730138,0.5729491910303719,0.95725,0.06828627708470125
jpeg_q30,M3_cal,0.6381657091267235,0.614107294919103,0.6445,0.5741956664478004
jpeg_q30,mean_prob,0.6535029546946816,0.6179392563156401,0.93825,0.19730794484569927
jpeg_q30,majority_vote,0.5935382058437295,0.584445075219983,0.92775,0.13361785948785293
jpeg_q30,combiner_logreg,0.6270476854891661,0.5989213738291229,0.946,0.14313854235062376
jpeg_q30,combiner_mlp,0.633025689428759,0.6048822026681805,0.9375,0.1680892974392646
blur_s05,M1_cal,0.756366628365069,0.6128299744535907,0.3785,0.9205515430072226
blur_s05,M2_cal,0.5784749671700591,0.5716718705648595,0.83325,0.22816808929743926
blur_s05,m12_mean,0.7611043992120813,0.6275901220550667,0.41925,0.9011818778726198
blur_s05,M3_cal,0.6710105876559422,0.650723814930457,0.83525,0.40840446487196325
blur_s05,mean_prob,0.7639884274458306,0.6906045983536758,0.74725,0.6162179908076165
blur_s05,majority_vote,0.7017882058437295,0.665483962531933,0.78875,0.5036112934996717
blur_s05,combiner_logreg,0.7506021831910702,0.6965654271927335,0.7265,0.6572554169402495
blur_s05,combiner_mlp,0.7410993926460933,0.69103037184218,0.703,0.675311884438608
blur_s10,M1_cal,0.7495233092580433,0.4882202668180528,0.1075,0.9881812212738017
blur_s10,M2_cal,0.6151816316480629,0.4320181663355095,0.0,0.9993434011818779
blur_s10,m12_mean,0.7684474720945502,0.46068691456145333,0.055,0.9934340118187788
blur_s10,M3_cal,0.6938030203545633,0.6647743400510928,0.74475,0.5597504924491136
blur_s10,mean_prob,0.7598926460932369,0.5889866590973603,0.31575,0.9478003939592908
blur_s10,majority_vote,0.6744815331582403,0.48282713596366733,0.09425,0.9931057124097177
blur_s10,combiner_logreg,0.7675258535784635,0.5601759863752483,0.26625,0.9461588969139856
blur_s10,combiner_mlp,0.7595983256730139,0.5486801021856372,0.2515,0.9389363099146422
blur_s20,M1_cal,0.6562539395929088,0.4436559750212887,0.0235,0.9954038082731451
blur_s20,M2_cal,0.5110343072882468,0.43230201532784557,0.0,1.0
blur_s20,m12_mean,0.6464326165462903,0.4379789951745671,0.0105,0.9993434011818779
blur_s20,M3_cal,0.6645952068286277,0.6209196707351688,0.6035,0.6437951411687459
blur_s20,mean_prob,0.6906350131319764,0.4703377803008799,0.0815,0.9809586342744583
blur_s20,majority_vote,0.6282173342087984,0.4406755606017599,0.017,0.9970453053184505
blur_s20,combiner_logreg,0.6937212738017071,0.46295770650014195,0.077,0.9697964543663822
blur_s20,combiner_mlp,0.6875260177281681,0.4574226511495884,0.07025,0.9658568614576494
blur_s30,M1_cal,0.6226666119500985,0.43741129718989497,0.0115,0.9967170059093894
blur_s30,M2_cal,0.4387244747209455,0.444791370990633,0.103,0.8936309914642153
blur_s30,m12_mean,0.6049908896913986,0.4368435992052228,0.01,0.9973736047275115
blur_s30,M3_cal,0.6310016414970453,0.5600340618790803,0.4345,0.7248850952068286
blur_s30,mean_prob,0.6469162015758372,0.452171444791371,0.0645,0.9612606697307945
blur_s30,majority_vote,0.5738337984241628,0.44663638944081746,0.04975,0.9678266579120157
blur_s30,combiner_logreg,0.6492971109652003,0.45642917967641217,0.06725,0.9674983585029547
blur_s30,combiner_mlp,0.6371364084044648,0.4572807266534204,0.07125,0.964215364412344
noise_s2,M1_cal,0.691609487852922,0.6243258586432018,0.56775,0.6986211424819435
noise_s2,M2_cal,0.48287253775443206,0.4919103037184218,0.592,0.3604727511490479
noise_s2,m12_mean,0.6785075508864084,0.617655407323304,0.572,0.6776099803020355
noise_s2,M3_cal,0.6458886654629021,0.6290093670167471,0.7485,0.47209455022980956
noise_s2,mean_prob,0.7015923342087983,0.6466080045415838,0.72975,0.5374261326329612
noise_s2,majority_vote,0.6326986621799081,0.6175134828271359,0.6935,0.5177281680892974
noise_s2,combiner_logreg,0.6764146421536441,0.6478853250070963,0.7615,0.49868680236375573
noise_s2,combiner_mlp,0.6767584537097833,0.6466080045415838,0.7705,0.48391332895600786
noise_s5,M1_cal,0.6200764116874589,0.5827419812659665,0.61075,0.5459619172685489
noise_s5,M2_cal,0.5892565659881812,0.44777178541016177,0.0385,0.9852265265922522
noise_s5,m12_mean,0.6286001313197637,0.5827419812659665,0.51425,0.6726854891661195
noise_s5,M3_cal,0.6171932862770847,0.6151007663922793,0.89825,0.2432698621142482
noise_s5,mean_prob,0.6654719304005252,0.6156684643769514,0.825,0.34077478660538413
noise_s5,majority_vote,0.6215046782665792,0.5993471473176271,0.574,0.6326329612606697
noise_s5,combiner_logreg,0.634747866053841,0.6190746522849844,0.794,0.38936309914642153
noise_s5,combiner_mlp,0.6374900689428759,0.6189327277888164,0.765,0.42711753118844387
noise_s10,M1_cal,0.686997866053841,0.5950894124325858,0.41325,0.8338804990151018
noise_s10,M2_cal,0.5954168581746553,0.4368435992052228,0.01125,0.9957321076822062
noise_s10,m12_mean,0.6956600459619171,0.5483962531933012,0.26275,0.9235062376887722
noise_s10,M3_cal,0.6133861211424818,0.6112688049957422,0.89225,0.242284963887065
noise_s10,mean_prob,0.6972570584372949,0.6424921941527107,0.67675,0.5975049244911359
noise_s10,majority_vote,0.656363878857518,0.5902639795628726,0.38975,0.8535784635587655
noise_s10,combiner_logreg,0.6623989658568614,0.6261708770933864,0.607,0.6513460275771503
noise_s10,combiner_mlp,0.6581811391989494,0.6162361623616236,0.57575,0.6694024950755089
noise_s20,M1_cal,0.6615883125410373,0.533210332103321,0.24775,0.9080761654629022
noise_s20,M2_cal,0.5254015101772818,0.4445075219982969,0.03825,0.9780039395929088
noise_s20,m12_mean,0.6652513131976363,0.49134260573374966,0.1375,0.9560078791858174
